addresses,value
3CP7BQb1djGFKUnujfTGZ6yzRcmWH7SbdJ,807203
37YPJS6kGkBsVXk59tsyMqS9ovn4jGLTA8,109754
1EMq1xd1bz9GPpJd4esjh9h1fpXTqAmH4v,2446163
bc1qgzrgscu7kfxtynzdx84kxjqt9ntyv6czdujtrs,228748
bc1qjvyrlx27qjpp2pu5wz5l3y5exde383ta8zecyl,51800
1WvxL2wtpjEHQUFthPFLEmxNDt99B3dQm,2141274
3H2xV1awWfaZX7MZjxaf5K1FGKYEKgMbFf,128070
1MXfNtP72HWtfc53Y5QL8gYqR961iWYWac,1169706
bc1qwuhlpfc6hwf9432nqnv0trlumxes4rwt9atvf5,6576
3HpKCEtjQFKpv3SLGQX5vUGqKJVTGTwArq,213800
14bK3BBbtpk9GWUab3K72y7QHuEee1jUMR,106800
34j5fAHdkUVDFLMwVjFZ7pdxXGfJSwvjrc,64119
13J5Rf9buu4vnnuFw2NvyWinqMQDNDm2X2,409222
3M5yC34NXZmJidWAKqPMVF1pAPTQzXu2Q3,705075
18Dj4JJ8v6HLfUzsjX4hGC52Mqj3RKvBa1,108912
bc1q0n88yg4ya6rsqyzf87v7s97z8qh4ah9upng7nh,2570540
36Ppd6DU4kVBSUsHQ6couCqek84ZXSsxDt,3420000
bc1qdfqdp5q7s79wsrhnjnnkaqxaff0xscw2tnkg5y,14952
19aAdjQTYhxaPwhH18Tqcwmn8RF8XM3n3f,509213
bc1q039k65ya9q2dne2xdw9e64u0d7aw9dv9lhgwuk,190310
bc1qaq69fwut4ua4zg20yectxv36agh83p6vxrunel,427200
33wk2Mf8WKeg3j7XHkokiWRimswvUJ9rZB,1320900
3GVuKZwVaCisCKKGX6qSiLRpR4ZHQN4MuY,880650
13wBTQD7HXAPtxewBCLurVDGcrYfi7gyFR,530239
bc1qdffu5mklfe242s9mast0n0e7y7lv9gny2rnvzy,157439
bc1qx9d2ff0ehnmln2vjhsvz3u4v3vagfjdlaapze5,8564283
16JFfUEUkpWwefX64KHfp3ZFc69zQucLrz,227045
bc1qp6x2zmj4x2x0uehyj044knd043pensx77ccv7v,245565
3CU7eJFu9rW6kvnpLBRBDDY7aUNenGkr6f,218076
1JgdJh6gxKVQpZrQNkUfoqnapYUFsCHNvQ,828900
bc1qevjwnmmz6g3wkmu2y90xgetj5sf4hc6ftnwchd,42720
1BdYYen2Es24qsF18DSCjWu1izFPLnqYvg,204912
3AiB72NZJqRqoL3DAkewz3Nt6QLJ5fUFsn,4057370
bc1qa5exm84sd2mu2xn9tcl2acqm7umsup2p4v3y69,42720
3NSa5aSknNkZzw4M8iiXRcW1sjid8quXdt,38098702
33vLsnRhnP935LZ8wPorewzx9aaPcdef2P,800000
1BUD5kHeLkGZuWhLRJeNuWs1izPxuRRdjt,12400
bc1qr2z5fzxu4h7uvy2czpwptxxcwrlrhj0tfh59lzrkpacdxk5fq72q7pm4ur,5823
bc1quuqvrvngaf25llryrk6atfjxryefmhapjrk4qv,907540
3NXxvFdsXK8DPRuGKbhNsvtP5FoL1s6hzF,1716949
1Dom2SMfzPqn8fGokGK3fgcEobJBgdGzRE,5381352
bc1q076wapntmd8lxuwtrslq9m58pwaec054sxhj9f,213620
bc1q2x4urazty0fl4rjm9zufdmu963fu6zk0gwcal3,1332885
bc1qpzg65k5yk0ykf3jnftt7s9vqcevahen2xhdq69,2543324
3KGA169ZX6wXLm1qHg4LmbpWW2fZXB224L,853800
bc1qc74495v4x9pmrvht0h5rujtx53sr7rk57mwzu5,28798200
bc1qjtrg3t0n86mejply6ffcsjdj0uk4kf3zlhsepv,854400
bc1qc7dkptzrym5uu2d3p5980hxxx4lnjg0zqux996,550975
bc1q5a8u3u6mpr3rv5fg4jzz5eyp4843gw7e3e6ywj,196610
bc1qjnkln9eetydlsgwdjamecl5ax860dyqpa0wqu6,132233
bc1q5lqyz90wr8h5dy64memf8ztdc32m9mn98h67v4,45666323
3NgzmuH8rDqkN19B8aV4jPdJQF5wx7hGH2,170880
bc1q4hrq0fd7hapdgaxuyt3t99f00ptf7e0r3ejper,752917
bc1q6e9jlh4a5l88qwcudwf75ukjf37yqs4ak2nm9n,67177
33WYHrnHwu1wfxkGSNX3CSLpctMrjWRgDJ,98000
19JUK4xjhST3FHKvbArN6ZADf7VJPKvqxZ,800463
1JU49r13iLg9v7NPm3Ceta6fuKiRUssnQg,151298516
33cgfWDvZQBJ9dg1z9SoHbuGYGLBaMV4Yx,217590
bc1qylu9atz5vurlc0kcfvghy57l2ev3avaeexq27d,854600
bc1qf93t97pqn0z4476g7t79r2ksq4gaaj70stp643,1632332
3PRUyf2M7u4F2Ctj9S3qQX4LhdY9egFBT1,22011
bc1qd7sq9gr358jnv47zk3lmhjalmf5k9j6p20v69e,1126713
36tgaBFvAoJ3jBGFJHJMG8dVYqMbEfZaJE,4400000
34VzYhBc1SssRy4SKoTVCQ8D7FpHXR9rZp,543388
16qpFUXBMUvrPdCdU6hUweUsKVJkGHgYEi,130600
bc1qap7ypd90glwd3n7mfqukkrzsn76ktnzsvveqhc,131227
bc1qwxdgw8t7lzf706spch0jhvjakakyfhx0w28gdv,154000
bc1qed09a7uvstzytxhty7av2cumnadzqus9kys6f2,176872
1Et1vfXDd8fDD1KWQtMEPuq68R5Z2YdiMi,273402
1EV83M9fHLXuAYxHsHxdyS8mpJCeUZqU33,854200
bc1q4kfv3dtrwke36qnlaxndrece3nxg2yu60wnctc,255042
3AvM7KFYo2dpkDBMuAxo9N6uP4cbHbdovR,154414
bc1qr79q8nn0ldxww826j5c372gd6ymfmvcky4m025423s4rn6euv4hs6zavvs,42413
bc1q6l009p2ygtjv3f9y67sm7jd65q32k6qv29cxax,770148
bc1qqwwdtp3fkym80sdsq4l6kx0c7968dce9dzr7yj,966869
bc1q89nfsdm4zcp6msklpmgm2wje3cfcjg8rz89g7z,16729984021
3Ep3Uc1JPXohMv5BCGBXNGUATubdA7sCNG,427400
